IDUser,Latitude,Longitude,UserID
6855,45.57691930339128,-122.712074383191,bogus variable
6856,45.57633021454651,-122.71201702252635,bogus variable
6857,45.57592995680955,-122.71266848153532,bogus variable
6858,45.57539609239651,-122.71262042584942,bogus variable
6859,45.57541551822545,-122.71319780227503,bogus variable
6860,45.57610992352284,-122.7131474876538,bogus variable
6861,45.57636047369916,-122.71336110660395,bogus variable
6862,45.57659247128376,-122.71336097793775,bogus variable
6863,45.57647757919595,-122.71209915938714,bogus variable
6864,45.57619902107073,-122.71214451458503,bogus variable
6865,45.57618218628799,-122.71224472058049,bogus variable
6866,45.575414986108726,-122.71292283251933,bogus variable
6867,45.57568799590475,-122.71334940413836,bogus variable
6868,45.57581772940279,-122.71334177689064,bogus variable
6869,45.57604508352035,-122.71335481913516,bogus variable
6870,45.576146386711336,-122.7133494791868,bogus variable
6871,45.57625956050065,-122.71335520908444,bogus variable
6872,45.57833045879495,-122.71333739750813,bogus variable
6873,45.57657363101963,-122.71204667744465,bogus variable
6874,45.576431042357406,-122.71202890536276,bogus variable
6875,45.57625415390301,-122.71202089081125,bogus variable
6876,45.57620854805984,-122.71207231095865,bogus variable
6877,45.57626597058461,-122.71216590865085,bogus variable
6878,45.57546469455865,-122.71270498286216,bogus variable
6879,45.57550100476825,-122.71301994360238,bogus variable
6880,45.57546401736346,-122.71336713791,bogus variable
6881,45.57592823197539,-122.71336446408822,bogus variable
6882,45.5756843569942,-122.71293660468892,bogus variable
6883,45.575656056922774,-122.71319194475198,bogus variable
6884,45.57648432415633,-122.71335621961369,bogus variable
6885,45.577885732706285,-122.7133433034484,bogus variable
6886,45.57713581348234,-122.7133458640279,bogus variable
6887,45.57835507006523,-122.71319251108962,bogus variable
6899,45.57639199798031,-122.71211372826016,bogus variable
6900,45.57569535044619,-122.71266571703374,bogus variable
6901,45.575609272502106,-122.7126545380328,bogus variable
6902,45.57551482343904,-122.71266173206614,bogus variable
6903,45.575579942614,-122.71335080713824,bogus variable
6904,45.57587571319824,-122.71316207888324,bogus variable
6905,45.57584623762506,-122.71265442977533,bogus variable
6906,45.57823422691572,-122.71334873579612,bogus variable
6907,45.57813325709225,-122.71334648522016,bogus variable
6908,45.57670417264575,-122.71336524561433,bogus variable
6910,45.57778379749168,-122.71334654750623,bogus variable
6911,45.57702032996774,-122.71334307921111,bogus variable
6912,45.57798600768778,-122.71302052221232,bogus variable
6913,45.578058662285535,-122.71294071709616,bogus variable
6914,45.57809959619247,-122.71280169010689,bogus variable
6915,45.578005859402,-122.7133378902856,bogus variable
6916,45.57692455186411,-122.71335188417784,bogus variable
6917,45.57755215895493,-122.71335295440844,bogus variable
6918,45.577717633529105,-122.71312028673827,bogus variable
